DATE,NFCI
1971-01-08,0.65053
1971-01-15,0.68852
1971-01-22,0.73354
1971-01-29,0.78243
1971-02-05,0.83205
1971-02-12,0.87833
1971-02-19,0.91873
1971-02-26,0.95346
1971-03-05,0.98532
1971-03-12,1.01799
1971-03-19,1.05603
1971-03-26,1.10496
1971-04-02,1.16775
1971-04-09,1.24542
1971-04-16,1.33446
1971-04-23,1.42714
1971-04-30,1.51281
1971-05-07,1.57858
1971-05-14,1.60988
1971-05-21,1.59775
1971-05-28,1.53991
1971-06-04,1.44066
1971-06-11,1.30947
1971-06-18,1.16683
1971-06-25,1.03498
1971-07-02,0.93726
1971-07-09,0.89620
1971-07-16,0.92798
1971-07-23,1.03908
1971-07-30,1.22397
1971-08-06,1.46337
1971-08-13,1.72815
1971-08-20,1.98611
1971-08-27,2.20256
1971-09-03,2.35562
1971-09-10,2.42930
1971-09-17,2.42431
1971-09-24,2.34770
1971-10-01,2.21707
1971-10-08,2.05240
1971-10-15,1.87783
1971-10-22,1.71476
1971-10-29,1.58032
1971-11-05,1.48492
1971-11-12,1.43059
1971-11-19,1.41350
1971-11-26,1.42237
1971-12-03,1.44486
1971-12-10,1.46737
1971-12-17,1.47652
1971-12-24,1.46184
1971-12-31,1.42044
1972-01-07,1.34452
1972-01-14,1.24627
1972-01-21,1.13041
1972-01-28,1.00821
1972-02-04,0.89037
1972-02-11,0.78379
1972-02-18,0.69240
1972-02-25,0.61812
1972-03-03,0.56071
1972-03-10,0.51824
1972-03-17,0.48674
1972-03-24,0.46113
1972-03-31,0.43494
1972-04-07,0.40239
1972-04-14,0.36183
1972-04-21,0.31123
1972-04-28,0.25494
1972-05-05,0.19741
1972-05-12,0.14513
1972-05-19,0.10447
1972-05-26,0.08178
1972-06-02,0.08045
1972-06-09,0.10199
1972-06-16,0.14373
1972-06-23,0.19990
1972-06-30,0.26154
1972-07-07,0.31839
1972-07-14,0.36163
1972-07-21,0.38366
1972-07-28,0.37985
1972-08-04,0.34923
1972-08-11,0.29416
1972-08-18,0.22048
1972-08-25,0.13588
1972-09-01,0.05005
1972-09-08,-0.02683
1972-09-15,-0.08794
1972-09-22,-0.12979
1972-09-29,-0.15267
1972-10-06,-0.16095
1972-10-13,-0.16127
1972-10-20,-0.15978
1972-10-27,-0.16199
1972-11-03,-0.17145
1972-11-10,-0.18936
1972-11-17,-0.21558
1972-11-24,-0.24824
1972-12-01,-0.28245
1972-12-08,-0.31258
1972-12-15,-0.33210
1972-12-22,-0.33265
1972-12-29,-0.30694
1973-01-05,-0.24984
1973-01-12,-0.15786
1973-01-19,-0.03160
1973-01-26,0.12503
1973-02-02,0.30429
1973-02-09,0.49429
1973-02-16,0.68084
1973-02-23,0.85110
1973-03-02,0.99320
1973-03-09,1.10051
1973-03-16,1.17061
1973-03-23,1.20789
1973-03-30,1.21842
1973-04-06,1.20874
1973-04-13,1.18715
1973-04-20,1.15875
1973-04-27,1.12782
1973-05-04,1.09589
1973-05-11,1.06508
1973-05-18,1.03613
1973-05-25,1.01125
1973-06-01,0.99385
1973-06-08,0.98847
1973-06-15,0.99963
1973-06-22,1.03162
1973-06-29,1.08745
1973-07-06,1.16651
1973-07-13,1.26758
1973-07-20,1.38483
1973-07-27,1.51349
1973-08-03,1.64594
1973-08-10,1.77604
1973-08-17,1.89731
1973-08-24,2.00532
1973-08-31,2.09467
1973-09-07,2.16087
1973-09-14,2.20127
1973-09-21,2.21484
1973-09-28,2.20180
1973-10-05,2.16308
1973-10-12,2.10681
1973-10-19,2.04040
1973-10-26,1.97696
1973-11-02,1.92664
1973-11-09,1.89768
1973-11-16,1.89184
